aro,norm_feature,present_feature,public_present_n,median_norm_when_present,mean_norm_when_present
OXA-1035,OXA-1035__norm,OXA-1035__present,18,11.64581298828125,11.64581298828125
OXA-10,OXA-10__norm,OXA-10__present,102,12.212583541870115,12.21278594521915
OXA-1127,OXA-1127__norm,OXA-1127__present,23,11.65119457244873,11.649264874665633
OXA-1135,OXA-1135__norm,OXA-1135__present,8,11.658188819885254,11.662625551223755
OXA-1250,OXA-1250__norm,OXA-1250__present,30,11.65695858001709,11.65695858001709
OXA-129,OXA-129__norm,OXA-129__present,9,12.157211303710938,12.158046828375923
OXA-2,OXA-2__norm,OXA-2__present,43,12.350253105163574,12.350253105163574
OXA-395,OXA-395__norm,OXA-395__present,298,11.639073371887209,11.639044441632779
OXA-396,OXA-396__norm,OXA-396__present,183,11.645864486694336,11.645864486694336
OXA-486,OXA-486__norm,OXA-486__present,640,11.63744831085205,11.63744831085205
OXA-488,OXA-488__norm,OXA-488__present,286,11.65371799468994,11.65371799468994
OXA-494,OXA-494__norm,OXA-494__present,198,11.651352882385254,11.651246735543916
OXA-4,OXA-4__norm,OXA-4__present,7,12.23415470123291,12.23415470123291
OXA-50,OXA-50__norm,OXA-50__present,325,11.639724731445312,11.638688058119554
OXA-56,OXA-56__norm,OXA-56__present,7,12.202635765075684,12.202635765075684
OXA-846,OXA-846__norm,OXA-846__present,102,11.646082878112791,11.646218234417486
OXA-847,OXA-847__norm,OXA-847__present,134,11.642145156860352,11.642887635017509
OXA-848,OXA-848__norm,OXA-848__present,61,11.64512062072754,11.64512062072754
OXA-851,OXA-851__norm,OXA-851__present,30,11.64001750946045,11.64001750946045
OXA-901,OXA-901__norm,OXA-901__present,10,11.665435791015623,11.665435791015623
OXA-904,OXA-904__norm,OXA-904__present,66,11.639467239379885,11.63966011278557
OXA-905,OXA-905__norm,OXA-905__present,25,11.668622970581056,11.668622970581056
OXA-906,OXA-906__norm,OXA-906__present,13,11.666878700256348,11.666836518507738
OXA-914,OXA-914__norm,OXA-914__present,18,11.645111083984377,11.645111083984377
OpmB,OpmB__norm,OpmB__present,2686,10.635055541992188,10.630936652089089
OpmD,OpmD__norm,OpmD__present,2590,11.462120056152344,11.467844790749568
OpmH,OpmH__norm,OpmH__present,2692,11.035335540771484,11.036984402924377
OprA,OprA__norm,OprA__present,6,11.498394966125488,11.50014877319336
OprJ,OprJ__norm,OprJ__present,2684,11.198776245117188,11.195081205908126
OprM,OprM__norm,OprM__present,2637,10.457045555114746,10.458259440390595
OprN,OprN__norm,OprN__present,2590,10.84547996520996,10.845459274895862
PDC-103,PDC-103__norm,PDC-103__present,6,11.822871208190918,11.822871208190918
PDC-109,PDC-109__norm,PDC-109__present,9,11.814810752868652,11.81615522172716
PDC-11,PDC-11__norm,PDC-11__present,104,11.82272720336914,11.822841818516071
PDC-120,PDC-120__norm,PDC-120__present,4,11.817041397094728,11.818299770355226
PDC-121,PDC-121__norm,PDC-121__present,9,11.821317672729492,11.821317672729492
PDC-12,PDC-12__norm,PDC-12__present,19,11.81121826171875,11.81121826171875
PDC-14,PDC-14__norm,PDC-14__present,11,11.813344955444336,11.813344955444336
PDC-15,PDC-15__norm,PDC-15__present,18,11.827360153198242,11.82758723364936
PDC-16,PDC-16__norm,PDC-16__present,112,11.810433387756348,11.810433387756348
PDC-19a,PDC-19a__norm,PDC-19a__present,87,11.809700012207031,11.809700012207031
PDC-1,PDC-1__norm,PDC-1__present,258,11.814553260803224,11.814553260803224
PDC-23,PDC-23__norm,PDC-23__present,12,11.809914588928224,11.819287776947021
PDC-24,PDC-24__norm,PDC-24__present,247,11.81714916229248,11.81714916229248
PDC-295,PDC-295__norm,PDC-295__present,21,11.816919326782228,11.816919326782228
PDC-30,PDC-30__norm,PDC-30__present,15,11.824178695678713,11.824178695678713
PDC-31,PDC-31__norm,PDC-31__present,25,11.811083793640137,11.811083793640137
PDC-34,PDC-34__norm,PDC-34__present,80,11.827467918395996,11.827467918395996
PDC-35,PDC-35__norm,PDC-35__present,148,11.800528526306152,11.800536110594466
PDC-36,PDC-36__norm,PDC-36__present,16,11.817891120910645,11.817891120910645
PDC-374,PDC-374__norm,PDC-374__present,11,11.83165168762207,11.831516005776145
PDC-37,PDC-37__norm,PDC-37__present,13,11.81356430053711,11.81356430053711
PDC-38,PDC-38__norm,PDC-38__present,7,11.821146965026855,11.821146965026855
PDC-39,PDC-39__norm,PDC-39__present,12,11.811034202575684,11.811034202575684
PDC-3,PDC-3__norm,PDC-3__present,593,11.816990852355955,11.817102382396163
PDC-45,PDC-45__norm,PDC-45__present,9,11.809980392456056,11.809980392456056
PDC-46,PDC-46__norm,PDC-46__present,10,11.814164161682127,11.814164161682127
PDC-59,PDC-59__norm,PDC-59__present,12,11.81021785736084,11.81021785736084
